SYMBOL,SYMBOLS,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
CREATIVE,CREATIVE.NS,Creative Newtech Limited,EQ,5-Aug-19,10,1,INE985W01018,10
CREATIVEYE,CREATIVEYE.NS,Creative Eye Limited,BE,20-Dec-00,5,1,INE230B01021,5
CREDITACC,CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,EQ,23-Aug-18,10,1,INE741K01010,10
CREST,CREST.NS,Crest Ventures Limited,EQ,27-Dec-06,10,1,INE559D01011,10
CRISIL,CRISIL.NS,CRISIL Limited,EQ,28-Jun-95,1,1,INE007A01025,1
CROMPTON,CROMPTON.NS,Crompton Greaves Consumer Electricals Limited,EQ,13-May-16,2,1,INE299U01018,2
CROWN,CROWN.NS,Crown Lifters Limited,BE,8-Feb-22,10,1,INE491V01019,10
CSBBANK,CSBBANK.NS,CSB Bank Limited,EQ,4-Dec-19,10,1,INE679A01013,10
CSLFINANCE,CSLFINANCE.NS,CSL Finance Limited,EQ,21-Jul-22,10,1,INE718F01018,10
CTE,CTE.NS,Cambridge Technology Enterprises Limited,BE,7-Feb-07,10,1,INE627H01017,10
CUB,CUB.NS,City Union Bank Limited,EQ,25-Aug-98,1,1,INE491A01021,1
